timestamp,worker_id,zone,temperature_c,humidity_pct,tilt_deg,acceleration_g,work_duration_min,movement,helmet,harness,waterlogging,event,risk_score
2026-07-18 11:30:00,TN-CW-014,Excavation,38.0,59.8,1.3,1.24,202.8,low,yes,yes,no,heat_stress,72.2
2026-07-18 11:45:00,TN-CW-021,Scaffolding,37.5,65.6,6.3,1.48,232.9,low,no,yes,no,ppe_gap,66.2
2026-07-18 12:00:00,TN-CW-001,Scaffolding,39.1,63.3,1.3,1.1,242.3,low,yes,yes,no,heat_stress,79.9
2026-07-18 12:15:00,TN-CW-009,Scaffolding,38.9,68.0,11.0,1.41,249.9,low,yes,yes,no,heat_stress,75.4
2026-07-18 12:30:00,TN-CW-014,Concrete,39.2,73.3,9.3,1.17,270.6,low,yes,yes,no,heat_stress,70.5
2026-07-18 12:45:00,TN-CW-021,Concrete,39.3,76.6,10.0,1.02,291.1,low,yes,yes,no,heat_stress,79.9
2026-07-18 13:00:00,TN-CW-001,Concrete,42.1,59.7,0.8,1.33,299.8,low,yes,yes,no,heat_stress,67.2
2026-07-18 13:15:00,TN-CW-009,Materials,40.4,69.0,10.5,1.1,311.2,low,yes,yes,no,heat_stress,74.2
2026-07-18 13:30:00,TN-CW-014,Scaffolding,40.6,62.0,66.2,3.27,327.0,very_low,yes,yes,no,possible_fall,93.7
2026-07-18 13:45:00,TN-CW-021,Materials,39.7,62.6,0.9,1.24,340.5,low,yes,yes,no,heat_stress,80.4
2026-07-18 14:00:00,TN-CW-001,Excavation,39.9,59.4,8.0,0.95,355.8,low,yes,yes,no,heat_stress,80.9
2026-07-18 14:15:00,TN-CW-009,Excavation,38.7,67.5,9.7,0.93,379.6,normal,yes,yes,no,normal,74.7
2026-07-18 14:30:00,TN-CW-014,Excavation,37.8,66.5,8.7,1.27,389.5,normal,yes,yes,no,normal,82.7
2026-07-18 14:45:00,TN-CW-021,Excavation,36.5,66.1,10.3,0.97,402.4,normal,yes,yes,yes,waterlogging,66.3
2026-07-18 15:00:00,TN-CW-001,Scaffolding,36.5,63.0,5.3,1.4,426.8,normal,yes,yes,no,normal,80.6
2026-07-18 15:15:00,TN-CW-009,Scaffolding,37.7,74.7,11.1,1.39,442.5,normal,yes,yes,no,normal,88.1
2026-07-18 15:30:00,TN-CW-014,Concrete,35.3,66.0,4.5,1.49,442.9,normal,yes,yes,no,normal,84.0
2026-07-18 15:45:00,TN-CW-021,Concrete,36.2,67.1,11.5,1.5,463.8,normal,no,yes,no,ppe_gap,66.6
2026-07-18 16:00:00,TN-CW-001,Concrete,34.2,63.9,7.0,1.18,487.5,normal,yes,yes,no,normal,94.8
2026-07-18 16:15:00,TN-CW-009,Materials,33.4,69.7,10.2,0.91,495.0,normal,yes,yes,no,normal,97.1
2026-07-18 16:30:00,TN-CW-014,Materials,33.0,61.7,8.1,0.96,511.5,normal,yes,yes,no,normal,92.9
2026-07-18 16:45:00,TN-CW-021,Materials,34.4,62.9,7.4,1.09,526.5,normal,yes,yes,no,normal,100
2026-07-18 17:00:00,TN-CW-001,Excavation,33.1,76.7,8.6,0.97,535.3,normal,yes,yes,no,normal,99.5
2026-07-18 17:15:00,TN-CW-009,Excavation,32.9,64.0,9.0,0.85,552.1,normal,yes,yes,no,normal,100
2026-07-18 17:30:00,TN-CW-014,Excavation,33.2,77.9,2.6,0.99,563.2,normal,yes,yes,no,normal,100
2026-07-18 17:45:00,TN-CW-021,Scaffolding,32.4,75.6,74.9,3.78,582.9,very_low,yes,yes,no,possible_fall,91.1
2026-07-18 18:00:00,TN-CW-001,Scaffolding,31.8,64.0,11.3,0.89,602.6,normal,yes,no,no,normal,100
2026-07-18 18:15:00,TN-CW-009,Scaffolding,30.6,63.4,8.6,0.94,616.7,normal,yes,yes,no,normal,100
2026-07-18 18:30:00,TN-CW-014,Concrete,30.0,76.1,1.1,1.1,635.5,normal,yes,yes,no,normal,100
2026-07-18 18:45:00,TN-CW-021,Concrete,28.3,73.4,3.1,1.32,647.2,normal,yes,yes,no,normal,100
2026-07-18 19:00:00,TN-CW-001,Concrete,28.8,58.2,10.6,1.43,653.2,normal,yes,yes,no,normal,100
2026-07-18 19:15:00,TN-CW-009,Materials,29.8,69.7,1.5,1.02,669.4,normal,yes,yes,no,normal,100
2026-07-18 19:30:00,TN-CW-014,Materials,29.7,75.2,2.5,0.97,696.4,normal,yes,yes,no,normal,100
2026-07-18 19:45:00,TN-CW-021,Materials,29.7,75.7,7.4,0.91,703.5,normal,yes,yes,no,normal,100
